1;GH1;FACULTAD DE MAGIA Y HECHICERÍA
2;GH2;FACULTAD DE MAGIA Y HECHICERÍA
3;GH3;FACULTAD DE MAGIA Y HECHICERÍA
4;HD1;FACULTAD DE MAGIA Y HECHICERÍA
5;HD2;FACULTAD DE MAGIA Y HECHICERÍA
6;HD3;FACULTAD DE MAGIA Y HECHICERÍA
7;HD4;FACULTAD DE MAGIA Y HECHICERÍA
8;HP1;FACULTAD DE MAGIA Y HECHICERÍA
9;HP2;FACULTAD DE MAGIA Y HECHICERÍA
10;HS1;FACULTAD DE MAGIA Y HECHICERÍA
11;HS2;FACULTAD DE MAGIA Y HECHICERÍA
12;HS3;FACULTAD DE MAGIA Y HECHICERÍA
13;HS4;FACULTAD DE MAGIA Y HECHICERÍA
14;HS5;FACULTAD DE MAGIA Y HECHICERÍA
15;HS6;FACULTAD DE MAGIA Y HECHICERÍA
16;DM1;FACULTAD DE MAGIA Y HECHICERÍA
17;DM2;FACULTAD DE MAGIA Y HECHICERÍA
18;DM3;FACULTAD DE MAGIA Y HECHICERÍA
19;DM4;FACULTAD DE MAGIA Y HECHICERÍA
20;MD1;FACULTAD DE MAGIA Y HECHICERÍA
21;PH1;FACULTAD DE MAGIA Y HECHICERÍA
22;PH2;FACULTAD DE MAGIA Y HECHICERÍA
23;HW1;FACULTAD DE MAGIA Y HECHICERÍA
24;HW2;FACULTAD DE MAGIA Y HECHICERÍA
25;MG1;FACULTAD DE MAGIA Y HECHICERÍA
26;MG2;FACULTAD DE MAGIA Y HECHICERÍA
27;MG3;FACULTAD DE MAGIA Y HECHICERÍA
28;MG4;FACULTAD DE MAGIA Y HECHICERÍA
29;MG5;FACULTAD DE MAGIA Y HECHICERÍA
30;MG6;FACULTAD DE MAGIA Y HECHICERÍA
31;MG7;FACULTAD DE MAGIA Y HECHICERÍA
32;MG8;FACULTAD DE MAGIA Y HECHICERÍA
33;MG9;FACULTAD DE MAGIA Y HECHICERÍA
34;MG0;FACULTAD DE MAGIA Y HECHICERÍA
35;MG11;FACULTAD DE MAGIA Y HECHICERÍA
36;MT1;FACULTAD DE MAGIA Y HECHICERÍA
37;MT2;FACULTAD DE MAGIA Y HECHICERÍA
38;DO1;FACULTAD DE MAGIA Y HECHICERÍA
39;HG1;FACULTAD DE MAGIA Y HECHICERÍA
40;HG2;FACULTAD DE MAGIA Y HECHICERÍA
41;WH3;FACULTAD DE MAGIA Y HECHICERÍA
42;WH1;FACULTAD DE MAGIA Y HECHICERÍA
43;WH2;FACULTAD DE MAGIA Y HECHICERÍA
